,beta,d,d_i,a_c,a_i,p_A,p_B,c1,c2,f_cA,f_cB,f_isA,f_iaA,r,ts,s_1,s_2,p_c,f_ibA,cycl_period,alt_cycl_period,cycling,rdt,pS0,pCs0,pCa0,pCb0,pIs0,pIa0,pIb0,N,t
828,0.24,9,0.86,0.05,0.002,0.175,0.5,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
869,0.24,9,0.86,0.05,0.002,0.175,0.525,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
910,0.24,9,0.86,0.05,0.002,0.175,0.55,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
951,0.24,9,0.86,0.05,0.002,0.175,0.575,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
992,0.24,9,0.86,0.05,0.002,0.175,0.6,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1033,0.24,9,0.86,0.05,0.002,0.175,0.625,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1074,0.24,9,0.86,0.05,0.002,0.175,0.65,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1115,0.24,9,0.86,0.05,0.002,0.175,0.675,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1156,0.24,9,0.86,0.05,0.002,0.175,0.7,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1197,0.24,9,0.86,0.05,0.002,0.175,0.725,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1238,0.24,9,0.86,0.05,0.002,0.175,0.75,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1279,0.24,9,0.86,0.05,0.002,0.175,0.775,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1320,0.24,9,0.86,0.05,0.002,0.175,0.8,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1361,0.24,9,0.86,0.05,0.002,0.175,0.825,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
9,0.24,9,0.86,0.05,0.002,0.2,0,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
50,0.24,9,0.86,0.05,0.002,0.2,0.025,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
91,0.24,9,0.86,0.05,0.002,0.2,0.05,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
132,0.24,9,0.86,0.05,0.002,0.2,0.075,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
173,0.24,9,0.86,0.05,0.002,0.2,0.1,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
214,0.24,9,0.86,0.05,0.002,0.2,0.125,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
255,0.24,9,0.86,0.05,0.002,0.2,0.15,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
296,0.24,9,0.86,0.05,0.002,0.2,0.175,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
337,0.24,9,0.86,0.05,0.002,0.2,0.2,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
378,0.24,9,0.86,0.05,0.002,0.2,0.225,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
419,0.24,9,0.86,0.05,0.002,0.2,0.25,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
460,0.24,9,0.86,0.05,0.002,0.2,0.275,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
501,0.24,9,0.86,0.05,0.002,0.2,0.3,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
542,0.24,9,0.86,0.05,0.002,0.2,0.325,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
583,0.24,9,0.86,0.05,0.002,0.2,0.35,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
624,0.24,9,0.86,0.05,0.002,0.2,0.375,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
665,0.24,9,0.86,0.05,0.002,0.2,0.4,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
706,0.24,9,0.86,0.05,0.002,0.2,0.425,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
747,0.24,9,0.86,0.05,0.002,0.2,0.45,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
788,0.24,9,0.86,0.05,0.002,0.2,0.475,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
829,0.24,9,0.86,0.05,0.002,0.2,0.5,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
870,0.24,9,0.86,0.05,0.002,0.2,0.525,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
911,0.24,9,0.86,0.05,0.002,0.2,0.55,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
952,0.24,9,0.86,0.05,0.002,0.2,0.575,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
993,0.24,9,0.86,0.05,0.002,0.2,0.6,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1034,0.24,9,0.86,0.05,0.002,0.2,0.625,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1075,0.24,9,0.86,0.05,0.002,0.2,0.65,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1116,0.24,9,0.86,0.05,0.002,0.2,0.675,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1157,0.24,9,0.86,0.05,0.002,0.2,0.7,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1198,0.24,9,0.86,0.05,0.002,0.2,0.725,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1239,0.24,9,0.86,0.05,0.002,0.2,0.75,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1280,0.24,9,0.86,0.05,0.002,0.2,0.775,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1321,0.24,9,0.86,0.05,0.002,0.2,0.8,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
10,0.24,9,0.86,0.05,0.002,0.225,0,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
51,0.24,9,0.86,0.05,0.002,0.225,0.025,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
92,0.24,9,0.86,0.05,0.002,0.225,0.05,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
133,0.24,9,0.86,0.05,0.002,0.225,0.075,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
174,0.24,9,0.86,0.05,0.002,0.225,0.1,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
215,0.24,9,0.86,0.05,0.002,0.225,0.125,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
256,0.24,9,0.86,0.05,0.002,0.225,0.15,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
297,0.24,9,0.86,0.05,0.002,0.225,0.175,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
338,0.24,9,0.86,0.05,0.002,0.225,0.2,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
379,0.24,9,0.86,0.05,0.002,0.225,0.225,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
420,0.24,9,0.86,0.05,0.002,0.225,0.25,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
461,0.24,9,0.86,0.05,0.002,0.225,0.275,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
502,0.24,9,0.86,0.05,0.002,0.225,0.3,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
543,0.24,9,0.86,0.05,0.002,0.225,0.325,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
584,0.24,9,0.86,0.05,0.002,0.225,0.35,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
625,0.24,9,0.86,0.05,0.002,0.225,0.375,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
666,0.24,9,0.86,0.05,0.002,0.225,0.4,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
707,0.24,9,0.86,0.05,0.002,0.225,0.425,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
748,0.24,9,0.86,0.05,0.002,0.225,0.45,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
789,0.24,9,0.86,0.05,0.002,0.225,0.475,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
830,0.24,9,0.86,0.05,0.002,0.225,0.5,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
871,0.24,9,0.86,0.05,0.002,0.225,0.525,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
912,0.24,9,0.86,0.05,0.002,0.225,0.55,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
953,0.24,9,0.86,0.05,0.002,0.225,0.575,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
994,0.24,9,0.86,0.05,0.002,0.225,0.6,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1035,0.24,9,0.86,0.05,0.002,0.225,0.625,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1076,0.24,9,0.86,0.05,0.002,0.225,0.65,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1117,0.24,9,0.86,0.05,0.002,0.225,0.675,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1158,0.24,9,0.86,0.05,0.002,0.225,0.7,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1199,0.24,9,0.86,0.05,0.002,0.225,0.725,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1240,0.24,9,0.86,0.05,0.002,0.225,0.75,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1281,0.24,9,0.86,0.05,0.002,0.225,0.775,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
11,0.24,9,0.86,0.05,0.002,0.25,0,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
52,0.24,9,0.86,0.05,0.002,0.25,0.025,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
93,0.24,9,0.86,0.05,0.002,0.25,0.05,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
134,0.24,9,0.86,0.05,0.002,0.25,0.075,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
175,0.24,9,0.86,0.05,0.002,0.25,0.1,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
216,0.24,9,0.86,0.05,0.002,0.25,0.125,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
257,0.24,9,0.86,0.05,0.002,0.25,0.15,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
298,0.24,9,0.86,0.05,0.002,0.25,0.175,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
339,0.24,9,0.86,0.05,0.002,0.25,0.2,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
380,0.24,9,0.86,0.05,0.002,0.25,0.225,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
421,0.24,9,0.86,0.05,0.002,0.25,0.25,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
462,0.24,9,0.86,0.05,0.002,0.25,0.275,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
503,0.24,9,0.86,0.05,0.002,0.25,0.3,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
544,0.24,9,0.86,0.05,0.002,0.25,0.325,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
585,0.24,9,0.86,0.05,0.002,0.25,0.35,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
626,0.24,9,0.86,0.05,0.002,0.25,0.375,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
667,0.24,9,0.86,0.05,0.002,0.25,0.4,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
708,0.24,9,0.86,0.05,0.002,0.25,0.425,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
749,0.24,9,0.86,0.05,0.002,0.25,0.45,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
790,0.24,9,0.86,0.05,0.002,0.25,0.475,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
831,0.24,9,0.86,0.05,0.002,0.25,0.5,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
872,0.24,9,0.86,0.05,0.002,0.25,0.525,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
913,0.24,9,0.86,0.05,0.002,0.25,0.55,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
954,0.24,9,0.86,0.05,0.002,0.25,0.575,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
995,0.24,9,0.86,0.05,0.002,0.25,0.6,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1036,0.24,9,0.86,0.05,0.002,0.25,0.625,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1077,0.24,9,0.86,0.05,0.002,0.25,0.65,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1118,0.24,9,0.86,0.05,0.002,0.25,0.675,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1159,0.24,9,0.86,0.05,0.002,0.25,0.7,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1200,0.24,9,0.86,0.05,0.002,0.25,0.725,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1241,0.24,9,0.86,0.05,0.002,0.25,0.75,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
12,0.24,9,0.86,0.05,0.002,0.275,0,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
53,0.24,9,0.86,0.05,0.002,0.275,0.025,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
94,0.24,9,0.86,0.05,0.002,0.275,0.05,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
135,0.24,9,0.86,0.05,0.002,0.275,0.075,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
176,0.24,9,0.86,0.05,0.002,0.275,0.1,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
217,0.24,9,0.86,0.05,0.002,0.275,0.125,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
258,0.24,9,0.86,0.05,0.002,0.275,0.15,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
299,0.24,9,0.86,0.05,0.002,0.275,0.175,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
340,0.24,9,0.86,0.05,0.002,0.275,0.2,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
381,0.24,9,0.86,0.05,0.002,0.275,0.225,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
422,0.24,9,0.86,0.05,0.002,0.275,0.25,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
463,0.24,9,0.86,0.05,0.002,0.275,0.275,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
504,0.24,9,0.86,0.05,0.002,0.275,0.3,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
545,0.24,9,0.86,0.05,0.002,0.275,0.325,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
586,0.24,9,0.86,0.05,0.002,0.275,0.35,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
627,0.24,9,0.86,0.05,0.002,0.275,0.375,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
668,0.24,9,0.86,0.05,0.002,0.275,0.4,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
709,0.24,9,0.86,0.05,0.002,0.275,0.425,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
750,0.24,9,0.86,0.05,0.002,0.275,0.45,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
791,0.24,9,0.86,0.05,0.002,0.275,0.475,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
832,0.24,9,0.86,0.05,0.002,0.275,0.5,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
873,0.24,9,0.86,0.05,0.002,0.275,0.525,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
914,0.24,9,0.86,0.05,0.002,0.275,0.55,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
955,0.24,9,0.86,0.05,0.002,0.275,0.575,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
996,0.24,9,0.86,0.05,0.002,0.275,0.6,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1037,0.24,9,0.86,0.05,0.002,0.275,0.625,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1078,0.24,9,0.86,0.05,0.002,0.275,0.65,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1119,0.24,9,0.86,0.05,0.002,0.275,0.675,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1160,0.24,9,0.86,0.05,0.002,0.275,0.7,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
1201,0.24,9,0.86,0.05,0.002,0.275,0.725,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
13,0.24,9,0.86,0.05,0.002,0.3,0,1,1,0.1,0.1,0.5,0.5,6,3,0.001,0.001,0.01,0.5,730,0,0,0,0.95,0.05,0,0,0,0,0,60,730
