,beta,d,d_i,a_c,a_i,p_A,p_B,c1,c2,f_cA,f_cB,f_clast,f_isA,f_iaA,r,ts,s_1,s_2,p_c,f_ib_last,cycl_period,alt_cycl_period,cycling,rdt,pS0,pCs0,pCa0,pCb0,pIs0,pIa0,pIb0,N,t
69,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
70,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
71,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,3,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
72,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
73,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,9,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
74,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,12,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
75,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,15,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
76,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,0,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
77,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,2,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
78,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
